spm no,sex,location,latitude,longitude,species,dominant phenotype,DRy/d (era),Sd/sd (era),yspot(era),N (mel),B (mel),DR (mel),yspot(mel)
<a href=001.jpg>001</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=002.jpg>002</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=003.jpg>003</a>,f,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=004.jpg>004</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,Sd/sd,+,,,,
<a href=005.jpg>005</a>,m,Mont du Tigre,04.54'372,052.18'278,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=006.jpg>006</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=007.jpg>007</a>,f,Mont du Tigre,04.54'372,052.18'278,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=008.jpg>008</a>,m,Mont du Tigre,04.54'372,052.18'278,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=009.jpg>009</a>,m,Mont du Tigre,04.54'372,052.18'278,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=010.jpg>010</a>,m,Mont du Tigre,04.54'372,052.18'278,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=011.jpg>011</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=012.jpg>012</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=013.jpg>013</a>,m,Mont du Mahury,04.53'067,052.15'757,erato,hydara,d/d,sd/sd,+,,,,
<a href=014.jpg>014</a>,m,Mont du Mahury,04.53'067,052.15'757,erato,hydara,d/d,Sd/sd,++,,,,
<a href=015.jpg>015</a>,m,Mont du Mahury,04.53'067,052.15'757,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=016.jpg>016</a>,f,Mont du Mahury,04.53'067,052.15'757,erato,hydara,d/d,sd/sd,+,,,,
<a href=017.jpg>017</a>,m,Mont du Mahury,04.53'067,052.15'757,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=018.jpg>018</a>,m,Mont du Mahury,04.53'067,052.15'757,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=019.jpg>019</a>,f,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,sd/sd,+,,,,
<a href=020.jpg>020</a>,m?,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,sd/sd,+,,,,
<a href=021.jpg>021</a>,m,Matoury (le Desiree),04.51'852,052.20'671,erato,erato,DRy/d,Sd/sd,++,,,,
<a href=022.jpg>022</a>,m,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,sd/sd,+,,,,
<a href=023.jpg>023</a>,m,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,Sd/sd,+,,,,
<a href=024.jpg>024</a>,f,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,DRy/d,sd/sd,+,,,,
<a href=025.jpg>025</a>,f,Mont du Tigre,04.54'372,052.18'278,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=026.jpg>026</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=027.jpg>027</a>,f,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,Sd/sd,+,,,,
<a href=028.jpg>028</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=029.jpg>029</a>,f,Mont du Tigre,04.54'372,052.18'278,melpomene,melpomene,,,,NB/NB,B/-,d/d,+
<a href=030.jpg>030</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,Sd/sd,+,,,,
<a href=031.jpg>031</a>,f,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,Sd/sd,+,,,,
<a href=032.jpg>032</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+,,,,
<a href=033.jpg>033</a>,f,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+
<a href=034.jpg>034</a>,m,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+
<a href=035.jpg>035</a>,f,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+
<a href=036.jpg>036</a>,f,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+
<a href=037.jpg>037</a>,f,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+
<a href=038.jpg>038</a>,f,Mont du Tigre,04.54'372,052.18'278,erato,hydara,d/d,sd/sd,+
<a href=039.jpg>039</a>,m,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,sd/sd,++
<a href=040.jpg>040</a>,f,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,sd/sd,+
<a href=041.jpg>041</a>,f,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,Sd/sd,+
<a href=042.jpg>042</a>,m,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,Sd/sd,++
<a href=043.jpg>043</a>,m,Matoury (le Desiree),04.51'852,052.20'671,elevatus, ,,,
<a href=044.jpg>044</a>,f,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,sd/sd,-
<a href=045.jpg>045</a>,f,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,sd/sd,+
<a href=046.jpg>046</a>,m,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,Sd/sd,+
<a href=047.jpg>047</a>,m,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,sd/sd,+
<a href=048.jpg>048</a>,m,Matoury (le Desiree),04.51'852,052.20'671,erato,hydara,d/d,Sd/sd,+
<a href=049.jpg>049</a>,m,Mont Paramana,04.48'946,052.20.983,erato,hydara,d/d,sd/sd,+
<a href=050.jpg>050</a>,m,Mont Paramana,04.48'946,052.20.983,erato,hydara,d/d,sd/sd,+
<a href=051.jpg>051</a>,f,Mont Paramana,04.48'946,052.20.983,erato,hydara,d/d,sd/sd,+
<a href=052.jpg>052</a>,f,Mont Paramana,04.48'946,052.20.983,erato,hydara,DRy/d,sd/sd,+
<a href=053.jpg>053</a>,f,Mont Paramana,04.48'946,052.20.983,erato,hydara,DRy/d,sd/sd,++
<a href=054.jpg>054</a>,m,Mont Paramana,04.48'946,052.20.983,erato,hydara,d/d,sd/sd,+
<a href=055.jpg>055</a>,m,Mont Paramana,04.48'946,052.20.983,erato,hydara,d/d,sd/sd,+
<a href=056.jpg>056</a>,f,Mont Paramana,04.48'946,052.20.983,erato,hydara,d/d,sd/sd,+
<a href=057.jpg>057</a>,m,Mont Paramana,04.48'946,052.20.983,erato,hydara,d/d,sd/sd,+
<a href=058.jpg>058</a>,m,Roura,04.43'495,052.19'195,erato,erato,DRy/d,Sd/Sd,++
<a href=059.jpg>059</a>,f,Roura,04.43'495,052.19'195,erato,erato,DRy/d,Sd/Sd,+
<a href=060.jpg>060</a>,m,Roura,04.43'495,052.19'195,erato,erato,DRy/DRy,Sd/Sd,+
<a href=061.jpg>061</a>,m,Roura,04.43'495,052.19'195,erato,hydara,d/d,Sd/Sd,+
<a href=062.jpg>062</a>,f,Roura,04.43'495,052.19'195,erato,hydara,DRy/d,sd/sd,++
<a href=063.jpg>063</a>,f,Roura,04.43'495,052.19'195,erato,hydara,d/d,Sd/sd,+
<a href=064.jpg>064</a>,m,Roura,04.43'495,052.19'195,erato,erato,DRy/d,Sd/Sd,++
<a href=065.jpg>065</a>,f,Roura,04.43'495,052.19'195,elevatus,,,,,,,,
<a href=066.jpg>066</a>,m,Roura,04.43'495,052.19'195,erato,hydara,d/d,sd/sd,+,,,,
<a href=067.jpg>067</a>,f,Roura,04.43'495,052.19'195,erato,hydara,d/d,Sd/sd,+,,,,
<a href=068.jpg>068</a>,m,Galion,04.46'954,052.24'689,erato,erato,DRy/DRy,Sd/Sd,++,,,,
<a href=069.jpg>069</a>,m,Galion,04.46'954,052.24'689,erato,hydara,d/d,Sd/Sd,++,,,,
